poll_uuid,uuid,image_id,image_path,vote_cnt,post_date,user_tag,model_tag,poll_text
5b1ec0cb-a92a-4b61-bd99-93339edd714b,cee796d1-7652-463e-9f78-82d511e06b67,"{'1': 'd1.jpg', '2': 'd2.jpeg'}","['https://product-analytics-team-9.s3.amazonaws.com/cee796d1-7652-463e-9f78-82d511e06b67/5b1ec0cb-a92a-4b61-bd99-93339edd714b/1/d1.jpg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=SVVDbTXrJpauR4cYPAQBbeFDZWg%3D&Expires=1556701218', 'https://product-analytics-team-9.s3.amazonaws.com/cee796d1-7652-463e-9f78-82d511e06b67/5b1ec0cb-a92a-4b61-bd99-93339edd714b/2/d2.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=5nFgwYNtm8o5HfbkmC%2BP4pqo04k%3D&Expires=1556701218']",,2019-04-24 09:00:32.116133,"{ferret,knight}","{Alien,Axe,Ferret,Person}",Which profile pic is cuter?
b9bb6c28-dbcc-48d2-a9af-f83edaf57707,cee796d1-7652-463e-9f78-82d511e06b67,"{'1': 'car1.png', '2': 'car2.png'}","['https://product-analytics-team-9.s3.amazonaws.com/cee796d1-7652-463e-9f78-82d511e06b67/b9bb6c28-dbcc-48d2-a9af-f83edaf57707/1/car1.png?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=pPncyYN8LlilBCx3Uz6nPcseABI%3D&Expires=1556701260', 'https://product-analytics-team-9.s3.amazonaws.com/cee796d1-7652-463e-9f78-82d511e06b67/b9bb6c28-dbcc-48d2-a9af-f83edaf57707/2/car2.png?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=TA60OOdmngZyhwn6%2BxvVJpXvK3Q%3D&Expires=1556701260']",,2019-04-24 09:01:20.483504,"{black,silver,car,mazda}","{Car,Vehicle,Machine,Tire}",Which car should I buy?
8eadc8be-62cc-4aa7-9ed6-daa40cb79007,cee796d1-7652-463e-9f78-82d511e06b67,{'1': 'earth.jpg'},['https://product-analytics-team-9.s3.amazonaws.com/cee796d1-7652-463e-9f78-82d511e06b67/8eadc8be-62cc-4aa7-9ed6-daa40cb79007/1/earth.jpg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=t39RJ7LsZPiWPam%2Byyn2mrvaFlI%3D&Expires=1556701297'],,2019-04-24 09:02:09.394943,"{space,ocean,planet,land}","{Outdoors,Moon,""Outer Space"",Globe}",Is this earth beautiful?
a7bb55fb-2ea1-4fd4-8ba3-63deab9be71c,cee796d1-7652-463e-9f78-82d511e06b67,"{'1': 'burger1.jpg', '2': 'burger2.jpg'}","['https://product-analytics-team-9.s3.amazonaws.com/cee796d1-7652-463e-9f78-82d511e06b67/a7bb55fb-2ea1-4fd4-8ba3-63deab9be71c/1/burger1.jpg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=DgFYCmbPOXjAvT6aGzlMq542baE%3D&Expires=1556701349', 'https://product-analytics-team-9.s3.amazonaws.com/cee796d1-7652-463e-9f78-82d511e06b67/a7bb55fb-2ea1-4fd4-8ba3-63deab9be71c/2/burger2.jpg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=PNHUGE3gTYtuAPIroQBJK3b%2B2yY%3D&Expires=1556701349']",,2019-04-24 09:02:46.571291,"{chicken,beef,fries}","{Cracker,Bread,Burger,Food}",Which burger is tastier?
96d0a0bf-2256-4c78-ae1c-15259b318835,9281d19f-b707-4df8-a8f3-b757475fe8e6,"{'1': 'WechatIMG383.jpeg', '2': 'WechatIMG384.jpeg'}","['https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/96d0a0bf-2256-4c78-ae1c-15259b318835/1/WechatIMG383.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=HiqS7E1a786LDKM5z0QVYmO%2Bbos%3D&Expires=1556729701', 'https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/96d0a0bf-2256-4c78-ae1c-15259b318835/2/WechatIMG384.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=yj83bT1%2Fsm8Qc2eKcXMiYeQqyyw%3D&Expires=1556729701']",,2019-04-24 16:55:35.052424,{dinner},"{Ravioli,Spoon,Bread,Dish}",Which one do you like
32a30076-ccb1-407f-918d-6e91d0ccface,9281d19f-b707-4df8-a8f3-b757475fe8e6,"{'1': 'WechatIMG376.jpeg', '2': 'WechatIMG377.jpeg'}","['https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/32a30076-ccb1-407f-918d-6e91d0ccface/1/WechatIMG376.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=yMrd1LA7mB%2BQ5T8Gci7issQ1pL0%3D&Expires=1556729991', 'https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/32a30076-ccb1-407f-918d-6e91d0ccface/2/WechatIMG377.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=odUxRyuN63wArDFYKNeLXi9wijY%3D&Expires=1556729992']",,2019-04-24 17:04:28.121926,"{drink,cocktail,beer}","{Can,Zebra,Label,Wildlife}",which one do you like
f88a2cba-0b79-4e6b-bfc7-a3e4c68c55c9,9281d19f-b707-4df8-a8f3-b757475fe8e6,"{'1': 'WechatIMG387.jpeg', '2': 'WechatIMG389.jpeg'}","['https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/f88a2cba-0b79-4e6b-bfc7-a3e4c68c55c9/1/WechatIMG387.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=V%2BsMhSXM0n1A95oblSqsbpoCzNs%3D&Expires=1556730290', 'https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/f88a2cba-0b79-4e6b-bfc7-a3e4c68c55c9/2/WechatIMG389.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=E8HSDMR57yi%2Bmmj6kMFlsvy0jNw%3D&Expires=1556730290']",,2019-04-24 17:05:34.256973,"{shoes,AJ,Yeezy}","{Shoe,""Running Shoe"",Footwear,Apparel}",Which shoes should I buy ?
b337d82e-45c3-47b7-ab51-a25c9c7e86ec,9281d19f-b707-4df8-a8f3-b757475fe8e6,"{'1': 'WechatIMG390.jpeg', '2': 'WechatIMG391.jpeg'}","['https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/b337d82e-45c3-47b7-ab51-a25c9c7e86ec/1/WechatIMG390.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=caCRZP%2FJifHJ%2F9QnWaTzQ6Q7iqo%3D&Expires=1556730348', 'https://product-analytics-team-9.s3.amazonaws.com/9281d19f-b707-4df8-a8f3-b757475fe8e6/b337d82e-45c3-47b7-ab51-a25c9c7e86ec/2/WechatIMG391.jpeg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=IRSELLkFR7tMAvD9kYflipFhlo4%3D&Expires=1556730349']",,2019-04-24 17:07:32.009511,"{bread,croissant,breakfast}","{Bird,Cream,Creme,Fig}",which should be my breakfast tmr ?
e64c60e2-9e41-41be-b6cb-0680bcadf47b,c8fdbc5f-8ce5-439e-ace4-a7bc9c643167,"{'1': 'IMG_3495.JPG', '2': 'IMG_3504.JPG'}","['https://product-analytics-team-9.s3.amazonaws.com/c8fdbc5f-8ce5-439e-ace4-a7bc9c643167/e64c60e2-9e41-41be-b6cb-0680bcadf47b/1/IMG_3495.JPG?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=Ng5e0G57VYgTWXwSGb6lqAKwLQg%3D&Expires=1556751716', 'https://product-analytics-team-9.s3.amazonaws.com/c8fdbc5f-8ce5-439e-ace4-a7bc9c643167/e64c60e2-9e41-41be-b6cb-0680bcadf47b/2/IMG_3504.JPG?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=%2BzmZJwHD3oSLOU9mpPWNgpZQTbU%3D&Expires=1556751716']",,2019-04-24 23:03:32.655048,{Animal},"{Animal,Person,Reptile,Land}",Which one would be a better pet?
1300cdce-ebf2-43ce-9e45-1ecd40d33a85,c8fdbc5f-8ce5-439e-ace4-a7bc9c643167,"{'1': 'UNADJUSTEDNONRAW_thumb_372.jpg', '2': 'UNADJUSTEDNONRAW_thumb_371.jpg'}","['https://product-analytics-team-9.s3.amazonaws.com/c8fdbc5f-8ce5-439e-ace4-a7bc9c643167/1300cdce-ebf2-43ce-9e45-1ecd40d33a85/1/UNADJUSTEDNONRAW_thumb_372.jpg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=iN4B5e43Pyt675ntlQ2Nm9AOMmg%3D&Expires=1556814846', 'https://product-analytics-team-9.s3.amazonaws.com/c8fdbc5f-8ce5-439e-ace4-a7bc9c643167/1300cdce-ebf2-43ce-9e45-1ecd40d33a85/2/UNADJUSTEDNONRAW_thumb_371.jpg?AWSAccessKeyId=AKIAIKNDRM7ZD3K67IBQ&Signature=oWOA%2BHlznjo494NgBHabX5o3WIQ%3D&Expires=1556814846']",,2019-04-25 16:34:27.646812,{Footwear},"{Nature,""Running Shoe"",Shoe,Clothing}",Which sneakers should I buy? 
